category,job_name,job_description,skill_requirements,education_requirements,experience_requirements,base_hourly_rate,max_hourly_rate,base_annual_salary,max_annual_salary
RENEWABLE ENERGY - SOLAR,Energy Storage Technician,"Specializes in installation, maintenance, and repair of battery storage systems integrated with solar energy solutions. Responsible for installing battery banks, configuring energy management systems, troubleshooting electrical issues, and ensuring proper integration between solar arrays and energy storage systems.",Understanding of electrical systems and battery technology; knowledge of solar integration; ability to configure battery management systems; troubleshooting skills; physical ability to lift heavy components; attention to detail,High school diploma or GED; technical training in electrical systems preferred; specialized energy storage training beneficial,1-2 years experience in solar installation or electrical work; experience with battery systems preferred,20.0,32.0,41600,66560
RENEWABLE ENERGY - SOLAR,Solar Field Technician,"Works on utility-scale and commercial solar projects, performing installation, maintenance, and repair of large solar arrays. Responsible for assembling mounting structures, installing panels, connecting electrical components, conducting inspections, and completing preventive maintenance to maximize energy production.",Physical stamina for outdoor work; ability to lift heavy materials; understanding of solar technology; basic electrical knowledge; proficiency with tools; ability to read site plans; willingness to travel,High school diploma or GED; vocational training beneficial; OSHA safety training required; renewable energy certifications helpful,"Entry-level positions available; construction, electrical, or mechanical experience preferred",17.0,25.0,35360,62400
RENEWABLE ENERGY - WIND,Wind Turbine Technician,"Responsible for installation, maintenance, and repair of wind turbine systems. Conducts regular inspections, performs preventive maintenance, troubleshoots electrical and mechanical issues, and completes repairs on wind turbine components. Climbs towers to access equipment while following strict safety protocols.",Comfort working at extreme heights (300+ feet); mechanical aptitude and troubleshooting skills; understanding of electrical systems; physical stamina and strength; ability to read technical manuals; safety consciousness; willingness to work in various weather,High school diploma or GED; technical training in wind energy or industrial maintenance preferred; specialized wind technician programs beneficial; safety certifications required,"Entry-level positions available with training; mechanical, electrical, or industrial maintenance experience beneficial; experience working at heights preferred",22.0,36.0,45760,74880
SUSTAINABLE AGRICULTURE & HORTICULTURE,Horticulture Technician,"Maintains and develops plant collections in specialized environments such as zoos, botanical gardens, or public spaces. Responsible for plant care, landscape maintenance, seasonal displays, and habitat enhancement. Ensures plant environments meet specific requirements while promoting sustainable landscaping practices.",Strong knowledge of plants and horticulture; understanding of plant ecology; experience with irrigation systems; ability to operate landscape equipment; physical stamina for outdoor work; attention to detail and aesthetics,High school diploma required; horticulture or botany coursework beneficial; specialized plant identification training helpful,1-2 years experience in horticulture or landscaping required; experience in specialized gardens preferred,16.0,20.0,33280,41600
SUSTAINABLE AGRICULTURE & HORTICULTURE,Urban Gardener,"Maintains and develops public gardens, parks, and green spaces. Responsible for planting, watering, pruning, and caring for plants throughout public properties. Performs soil preparation, fertilization, pest management, and seasonal planting to create attractive landscapes that support urban biodiversity and community wellbeing.",Knowledge of plants and landscaping principles; garden maintenance experience; plant identification abilities; proficiency with gardening tools; physical stamina for outdoor work; understanding of irrigation systems,High school diploma or GED; horticulture or landscaping coursework beneficial; specialized plant care certifications helpful,"Entry-level positions available; prior gardening, landscaping, or nursery work preferred",15.0,20.0,31200,41600
SUSTAINABLE AGRICULTURE & HORTICULTURE,Turf and Landscape Care Specialist,"Provides professional lawn and landscape care services. Responsible for implementing treatment programs including fertilization, weed control, pest management, and soil health improvement. Conducts assessments, applies treatments, and educates customers about sustainable lawn care practices.",Knowledge of turfgrass and plant care; understanding of fertilizers and treatments; ability to identify pests and diseases; experience with application equipment; customer service skills; time management abilities,High school diploma or GED; technical training in turfgrass management beneficial; pesticide applicator license required,Entry-level positions available; prior lawn care or landscaping experience preferred,15.0,22.0,31200,45760
SUSTAINABLE AGRICULTURE & HORTICULTURE,Facilities Maintenance Specialist,"Maintains specialized facilities such as zoos, aquariums, or botanical facilities. Performs preventive maintenance and repairs on mechanical, electrical, plumbing, and structural systems. Responds to maintenance requests and implements facility improvements while working in unique environments with specific requirements.",Knowledge of building systems; preventive maintenance experience; troubleshooting abilities; proficiency with tools; understanding of specialized facility requirements; safety awareness; physical ability for heavy lifting,High school diploma or GED; technical training in facilities maintenance preferred; specialized certifications beneficial,2+ years experience in facilities maintenance or related trades; experience in specialized facilities beneficial,18.0,25.0,37440,52000
CLEAN TRANSPORTATION & MOBILITY,Electric Vehicle Technician,"Specializes in maintenance, repair, and servicing of electric vehicles. Diagnoses and resolves issues with electric motors, battery systems, charging components, and EV-specific electronics. Performs preventive maintenance, software updates, and technical troubleshooting to ensure optimal vehicle performance.",Strong understanding of electric vehicle systems; knowledge of high-voltage electrical safety; diagnostic abilities for EV-specific issues; familiarity with charging infrastructure; proficiency with diagnostic tools; customer service abilities,High school diploma or GED; technical training in automotive technology preferred; specialized EV certification programs beneficial; electrical safety training required,1-3 years automotive service or electrical work experience; prior EV or hybrid vehicle experience preferred,20.0,35.0,41600,72800
CLEAN TRANSPORTATION & MOBILITY,EV Charging Station Technician,"Installs, maintains, and repairs electric vehicle charging infrastructure. Performs electrical work for charging station installation, troubleshoots charging equipment issues, conducts preventive maintenance, and ensures charging stations remain operational and safe for public use.",Knowledge of electrical systems and EV charging technology; ability to troubleshoot complex electrical issues; experience with charging station installation; understanding of electrical codes; physical ability for equipment installation; problem-solving skills,High school diploma or GED; electrical training preferred; EV charging certification beneficial; electrical license valuable but not always required,1-3 years electrical work experience; experience with EV charging infrastructure preferred; electrical installation background beneficial,20.0,32.0,41600,66560
CLEAN TRANSPORTATION & MOBILITY,Sustainable Transportation Coordinator,"Supports development and implementation of sustainable transportation initiatives. Assists with EV charging infrastructure projects, promotes alternative transportation options, coordinates with transportation providers, and supports efforts to reduce transportation-related environmental impacts.",Understanding of transportation systems; knowledge of sustainable transportation options; project coordination abilities; communication and outreach skills; data collection and analysis capabilities; customer service orientation,High school diploma or GED; transportation or environmental coursework beneficial; specialized training in sustainable transportation helpful,"Entry-level positions available; experience in transportation, customer service, or environmental programs preferred",16.0,24.0,33280,49920
CLEAN TRANSPORTATION & MOBILITY,Bicycle Maintenance Technician,"Performs maintenance, repair, and assembly of bicycles to support sustainable transportation alternatives. Diagnoses mechanical issues, replaces parts, tunes components, builds new bicycles, and conducts safety inspections. Provides technical advice and promotes cycling as environmentally friendly transportation.",Comprehensive knowledge of bicycle components; mechanical aptitude and troubleshooting abilities; experience with bicycle assembly and repair; proficiency with specialized tools; customer service skills; attention to detail,High school diploma or GED preferred; specialized bicycle mechanic training beneficial; manufacturer-specific training valuable,Entry-level positions available; 1-2 years bicycle repair experience preferred for higher-level positions; retail or customer service experience beneficial,15.0,22.0,31200,45760
GREEN BUILDING & ENERGY EFFICIENCY,Green Building Specialist,"Supports sustainable building design, construction, and operations. Assists with LEED certification processes, conducts energy efficiency assessments, reviews building plans for sustainability compliance, and helps implement green building practices. Works with architects, engineers, and contractors on sustainable construction projects.",Knowledge of green building principles and LEED rating systems; understanding of building systems and energy efficiency; ability to review construction documents; project coordination skills; attention to detail; communication abilities,High school diploma or GED; building science or construction coursework beneficial; LEED Green Associate credential preferred; specialized green building training helpful,"1-3 years experience in construction, building operations, or related field; experience with green building projects preferred",18.0,28.0,37440,58240
GREEN BUILDING & ENERGY EFFICIENCY,Energy Efficiency Technician,"Conducts energy audits and implements energy efficiency measures in residential and commercial buildings. Identifies opportunities for energy savings, installs energy-efficient equipment, performs building performance testing, and educates clients about energy conservation practices.",Knowledge of building systems and energy efficiency; experience with energy audit tools; understanding of insulation and weatherization; ability to use diagnostic equipment; data analysis skills; customer service abilities,High school diploma or GED; technical training in energy efficiency or building science beneficial; energy auditor certification preferred; BPI certification valuable,"Entry-level positions available; experience in construction, HVAC, or building trades preferred; energy auditing experience beneficial",17.0,26.0,35360,54080
GREEN BUILDING & ENERGY EFFICIENCY,Sustainability Project Assistant,"Provides administrative and technical support for sustainability projects and initiatives. Assists with data collection and analysis, prepares reports and presentations, coordinates project activities, and supports implementation of environmental and energy efficiency programs.",Strong organizational and administrative skills; data collection and analysis abilities; computer proficiency; communication skills; attention to detail; interest in sustainability; project coordination capabilities,High school diploma or GED; environmental studies or sustainability coursework beneficial; computer and data analysis training helpful,Entry-level positions available; administrative or project support experience preferred; sustainability or environmental program experience beneficial,16.0,22.0,33280,45760
GREEN BUILDING & ENERGY EFFICIENCY,Building Performance Technician,"Performs testing and commissioning of building systems to ensure optimal performance and energy efficiency. Conducts building envelope testing, HVAC system commissioning, indoor air quality monitoring, and energy performance verification. Works to optimize building operations for energy efficiency and occupant comfort.",Knowledge of building systems and performance testing; experience with diagnostic equipment; understanding of building science principles; analytical and problem-solving skills; attention to detail; ability to work in various building environments,High school diploma or GED; technical training in building performance or HVAC preferred; building commissioning certification beneficial; specialized equipment training provided,"1-2 years experience in HVAC, building maintenance, or related field; building performance testing experience preferred",19.0,27.0,39520,56160
